Timestamp,Equipment Name,Water Consumed (Liters),Energy Consumed (kWh)
2026-02-01 00:00:00,Cooling Tower A (Torre Enfriamiento),261.1,36.4
2026-02-01 00:00:00,Cooling Tower B (Torre Enfriamiento),368.9,42.1
2026-02-01 00:00:00,HVAC Chiller Unit 1 (Enfriadora),0.0,133.5
2026-02-01 00:00:00,HVAC Chiller Unit 2 (Enfriadora),0.0,131.5
2026-02-01 00:00:00,Industrial Washer A (Lavandería),16.7,0.8
2026-02-01 00:00:00,Industrial Washer B (Lavandería),9.2,1.1
2026-02-01 00:00:00,Tunnel Dishwasher (Cocina),12.0,0.9
2026-02-01 00:00:00,Pool Pump & Heater System,10.6,20.1
2026-02-01 00:00:00,Main Electric Boiler (Caldera),16.3,56.0
2026-02-01 01:00:00,Cooling Tower A (Torre Enfriamiento),433.9,37.9
2026-02-01 01:00:00,Cooling Tower B (Torre Enfriamiento),408.6,48.9
2026-02-01 01:00:00,HVAC Chiller Unit 1 (Enfriadora),0.0,159.7
2026-02-01 01:00:00,HVAC Chiller Unit 2 (Enfriadora),0.0,190.1
2026-02-01 01:00:00,Industrial Washer A (Lavandería),21.5,1.3
2026-02-01 01:00:00,Industrial Washer B (Lavandería),20.1,1.6
2026-02-01 01:00:00,Tunnel Dishwasher (Cocina),13.4,1.4
2026-02-01 01:00:00,Pool Pump & Heater System,20.5,22.3
2026-02-01 01:00:00,Main Electric Boiler (Caldera),28.5,75.6
2026-02-01 02:00:00,Cooling Tower A (Torre Enfriamiento),386.4,43.5
2026-02-01 02:00:00,Cooling Tower B (Torre Enfriamiento),319.5,32.9
2026-02-01 02:00:00,HVAC Chiller Unit 1 (Enfriadora),0.0,178.6
2026-02-01 02:00:00,HVAC Chiller Unit 2 (Enfriadora),0.0,147.8
2026-02-01 02:00:00,Industrial Washer A (Lavandería),15.9,1.0
2026-02-01 02:00:00,Industrial Washer B (Lavandería),15.6,1.0
2026-02-01 02:00:00,Tunnel Dishwasher (Cocina),13.0,2.0
2026-02-01 02:00:00,Pool Pump & Heater System,18.1,33.1
2026-02-01 02:00:00,Main Electric Boiler (Caldera),21.8,84.1
2026-02-01 03:00:00,Cooling Tower A (Torre Enfriamiento),284.4,31.7
2026-02-01 03:00:00,Cooling Tower B (Torre Enfriamiento),258.9,29.4
2026-02-01 03:00:00,HVAC Chiller Unit 1 (Enfriadora),0.0,100.5
2026-02-01 03:00:00,HVAC Chiller Unit 2 (Enfriadora),0.0,97.8
2026-02-01 03:00:00,Industrial Washer A (Lavandería),17.2,1.1
2026-02-01 03:00:00,Industrial Washer B (Lavandería),13.9,0.9
2026-02-01 03:00:00,Tunnel Dishwasher (Cocina),9.0,1.0
2026-02-01 03:00:00,Pool Pump & Heater System,11.3,27.8
2026-02-01 03:00:00,Main Electric Boiler (Caldera),16.6,82.7
2026-02-01 04:00:00,Cooling Tower A (Torre Enfriamiento),338.1,38.6
2026-02-01 04:00:00,Cooling Tower B (Torre Enfriamiento),284.6,46.8
2026-02-01 04:00:00,HVAC Chiller Unit 1 (Enfriadora),0.0,178.5
2026-02-01 04:00:00,HVAC Chiller Unit 2 (Enfriadora),0.0,155.7
2026-02-01 04:00:00,Industrial Washer A (Lavandería),18.6,0.8
2026-02-01 04:00:00,Industrial Washer B (Lavandería),16.5,1.1
2026-02-01 04:00:00,Tunnel Dishwasher (Cocina),10.9,1.4
2026-02-01 04:00:00,Pool Pump & Heater System,16.0,35.3
2026-02-01 04:00:00,Main Electric Boiler (Caldera),24.6,95.7
2026-02-01 05:00:00,Cooling Tower A (Torre Enfriamiento),290.0,33.7
2026-02-01 05:00:00,Cooling Tower B (Torre Enfriamiento),262.6,30.6
2026-02-01 05:00:00,HVAC Chiller Unit 1 (Enfriadora),0.0,118.3
