Timestamp,Equipment Name,Water Consumed (Liters),Energy Consumed (kWh),
01/02/2026 00:00,Cooling Tower A (Torre Enfriamiento),10000000,1000000000,
01/02/2026 00:00,Cooling Tower B (Torre Enfriamiento),368.9,42.1,
01/02/2026 00:00,HVAC Chiller Unit 1 (Enfriadora),0,133.5,
01/02/2026 00:00,HVAC Chiller Unit 2 (Enfriadora),0,131.5,
01/02/2026 00:00,Industrial Washer A (Lavandería),16.7,0.8,
01/02/2026 00:00,Industrial Washer B (Lavandería),9.2,1.1,
01/02/2026 00:00,Tunnel Dishwasher (Cocina),12,0.9,
01/02/2026 00:00,Pool Pump & Heater System,10.6,20.1,
01/02/2026 00:00,Main Electric Boiler (Caldera),16.3,56,
01/02/2026 01:00,Cooling Tower A (Torre Enfriamiento),433.9,37.9,
01/02/2026 01:00,Cooling Tower B (Torre Enfriamiento),408.6,48.9,
01/02/2026 01:00,HVAC Chiller Unit 1 (Enfriadora),0,159.7,
01/02/2026 01:00,HVAC Chiller Unit 2 (Enfriadora),0,190.1,
01/02/2026 01:00,Industrial Washer A (Lavandería),21.5,1.3,
01/02/2026 01:00,Industrial Washer B (Lavandería),20.1,1.6,
01/02/2026 01:00,Tunnel Dishwasher (Cocina),13.4,1.4,
01/02/2026 01:00,Pool Pump & Heater System,20.5,22.3,
01/02/2026 01:00,Main Electric Boiler (Caldera),28.5,75.6,
01/02/2026 02:00,Cooling Tower A (Torre Enfriamiento),386.4,43.5,
01/02/2026 02:00,Cooling Tower B (Torre Enfriamiento),319.5,32.9,
01/02/2026 02:00,HVAC Chiller Unit 1 (Enfriadora),0,178.6,
01/02/2026 02:00,HVAC Chiller Unit 2 (Enfriadora),0,147.8,
01/02/2026 02:00,Industrial Washer A (Lavandería),15.9,1,
01/02/2026 02:00,Industrial Washer B (Lavandería),15.6,1,
01/02/2026 02:00,Tunnel Dishwasher (Cocina),13,2,
01/02/2026 02:00,Pool Pump & Heater System,18.1,33.1,
01/02/2026 02:00,Main Electric Boiler (Caldera),21.8,84.1,
01/02/2026 03:00,Cooling Tower A (Torre Enfriamiento),284.4,31.7,
01/02/2026 03:00,Cooling Tower B (Torre Enfriamiento),258.9,29.4,
01/02/2026 03:00,HVAC Chiller Unit 1 (Enfriadora),0,100.5,
01/02/2026 03:00,HVAC Chiller Unit 2 (Enfriadora),0,97.8,
01/02/2026 03:00,Industrial Washer A (Lavandería),17.2,1.1,
01/02/2026 03:00,Industrial Washer B (Lavandería),13.9,0.9,
01/02/2026 03:00,Tunnel Dishwasher (Cocina),9,1,
01/02/2026 03:00,Pool Pump & Heater System,11.3,27.8,
01/02/2026 03:00,Main Electric Boiler (Caldera),16.6,82.7,
